name,kind,outcome,message,secs,n_equations,n_states,n_algebraic,n_discrete,n_parameters,structural,n_blocks,n_coupled,largest_coupled,has_arrays,max_depth,n_functions
Modelica.Blocks.Math.Gain,Component,success,,0.220,1,0,0,0,1,ok,1,0,0,false,0,0
Modelica.Blocks.Math.Harmonic,Component,success,,0.339,22,2,7,3,43,ok,22,0,0,false,2,3
Modelica.Blocks.Math.IntegerChange,Component,success,,0.225,0,0,0,1,1,error:empty system: no equations or unknowns,,,,false,1,0
Modelica.Blocks.Math.IntegerToBoolean,Component,success,,0.224,0,0,0,2,2,error:empty system: no equations or unknowns,,,,false,1,0
Modelica.Blocks.Math.IntegerToReal,Component,success,,0.209,1,0,0,0,0,ok,1,0,0,false,0,0
Modelica.Blocks.Math.InverseBlockConstraints,Component,success,,0.214,2,0,0,0,0,singular,,,,false,0,0
Modelica.Blocks.Math.LinearDependency,Component,success,,0.214,1,0,0,0,3,ok,1,0,0,false,0,0
Modelica.Blocks.Math.Log,Component,success,,0.215,1,0,0,0,1,ok,1,0,0,false,0,1
Modelica.Blocks.Math.Log10,Component,success,,0.211,1,0,0,0,0,ok,1,0,0,false,0,1
Modelica.Blocks.Math.MatrixGain,Component,success,,0.319,1,0,0,0,3,singular,,,,false,0,0
Modelica.Blocks.Math.Max,Component,success,,0.215,1,0,0,0,0,ok,1,0,0,false,0,0
Modelica.Blocks.Math.Mean,Component,success,,0.214,2,1,0,2,10,ok,2,0,0,false,1,0
Modelica.Blocks.Math.Min,Component,success,,0.208,1,0,0,0,0,ok,1,0,0,false,0,0
Modelica.Blocks.Math.MinMax,Component,success,,0.216,2,0,0,0,2,ok,2,0,0,false,0,0
Modelica.Blocks.Math.MultiProduct,Component,success,,0.213,1,0,0,0,3,ok,1,0,0,false,0,0
Modelica.Blocks.Math.MultiSum,Component,success,,0.227,1,0,0,0,3,ok,1,0,0,false,0,0
Modelica.Blocks.Math.MultiSwitch,Component,success,,0.225,1,0,0,2,6,ok,1,0,0,false,1,1
Modelica.Blocks.Math.PolarToRectangular,Component,success,,0.218,2,0,0,0,0,ok,2,0,0,false,0,2
Modelica.Blocks.Math.Power,Component,success,,0.222,1,0,0,0,2,ok,1,0,0,false,0,2
Modelica.Blocks.Math.Product,Component,success,,0.217,1,0,0,0,0,ok,1,0,0,false,0,0
